time,NO2,CO,SO2
2026-05-27,0.0002154494795831,0.0317185260355472,0.0004887207178398501
2026-05-28,0.0001868971448856,0.0246474873274564,0.0003527821390889
2026-05-29,0.0001583448101882,0.0302372686564922,0.000338500336511
2026-05-30,0.0001297924754907,0.0306423548609018,0.0001674280210863
2026-05-31,0.0001012401407933,0.0247313492000103,0.00015980571333780002
2026-06-01,6.284859409788623e-05,0.0258722603321075,0.0001521834055893
2026-06-02,0.0001239730918314,0.0282037133971849,0.000353689683834
2026-06-03,0.0001364525232929,0.0305351664622624,0.0001615325891179
2026-06-04,8.004696428542957e-05,0.0328666195273399,9.19856947802573e-05
2026-06-05,8.17657055449672e-05,0.027312091551721,2.24388004426146e-05
2026-06-06,8.423832332482561e-05,0.0217575635761022,0.0006243006791919
2026-06-07,7.393363921437413e-05,0.025304177775979,0.0001319407747359
2026-06-08,0.0001836689480114,0.0241242460906505,0.00019875019643214998
2026-06-09,0.0001048271078616,0.0301735587418079,0.0002655596181284
2026-06-10,0.0001397364248987,0.0325228348374366,0.0004170029715169
2026-06-11,8.131810318445787e-05,0.0321947298943996,0.00057617193087932
2026-06-12,8.847531231973858e-05,0.0310469949617981,0.00073534089024174
2026-06-13,9.56325214550193e-05,0.0298992600291967,0.00089450984960416
2026-06-14,0.0001027897305903,0.0287515250965952,0.00105367880896658
2026-06-15,9.174035221803932e-05,0.0276037901639938,0.001212847768329
2026-06-16,4.34088142355904e-05,0.0236578024923801,0.0006968862944631
2026-06-17,6.369445327436551e-05,0.0279115829616785,0.0001809248205972
2026-06-18,0.000107330532046,0.0274951457977294,1.807980333978776e-05
2026-06-19,9.956202120520176e-05,0.0305393375456332,0.000665440224111
2026-06-20,1.9048588001169264e-05,0.0335835292935371,0.0007231557974591
2026-06-21,4.584995258483104e-05,0.0290806554257869,0.0001354475243715
2026-06-22,3.442301749601029e-05,0.019614391028881,0.0002722722128964
2026-06-23,5.1676541261258535e-05,0.0305923521518707,0.00022496082722976666
2026-06-24,6.893006502650678e-05,0.0230365693569183,0.00017764944156313333
2026-06-25,7.004167855484411e-05,0.0263764914125204,0.0001303380558965
2026-06-26,4.066451219841838e-05,0.0252808928489685,0.0001986991774174
2026-06-27,2.874645360861905e-05,0.0291903056204319,0.0002670602989383
2026-06-28,7.999870285857469e-05,0.026743546128273,0.0001464638189645
2026-06-29,0.0001293957466259,0.0211124308407306,5.093218715046533e-05
2026-06-30,0.0001215707015944,0.02640009671449655,0.0011786555405706
2026-07-01,0.0001089685247279,0.0316877625882625,0.0006079412360122577
2026-07-02,0.0001465677341911,0.0271630436182022,3.722693145391531e-05
2026-07-03,0.0001097830972867,0.0286233182996511,0.0006057503051124
2026-07-04,7.246718450915068e-05,0.0253765173256397,0.0005739874322898
2026-07-05,6.125021900516003e-05,0.027275713160634,0.000600204337388225
2026-07-06,6.892677629366517e-05,0.0291749089956283,0.00062642124248665
2026-07-07,6.55209951219149e-05,0.0299057159572839,0.000652638147585075
2026-07-08,0.0001451235730201,0.0296704713255167,0.0006788550526835
2026-07-09,6.03428234171588e-05,0.0287140551954507,0.0006068312601807001
2026-07-10,7.25596837582998e-05,0.0290488414466381,0.0005348074676779
2026-07-11,7.121547969290987e-05,0.0310541335493326,0.0004627836751751
2026-07-12,6.987127562751994e-05,0.0330594256520271,0.00028931905399070005
2026-07-13,4.911161886411719e-05,0.0286349952220916,0.0001158544328063
2026-07-14,8.80959487403743e-05,0.0308570154011249,0.0002407292631687
2026-07-15,6.43886232865043e-05,0.0237543676048517,0.0005463673151098
2026-07-16,7.699553680140525e-05,0.0260331714525818,0.000634916126728
2026-07-17,8.042991976253688e-05,0.028311975300312,0.0007234649383462
2026-07-18,0.0001539366930956,0.0248381327837705,0.00058488463400855
2026-07-19,0.0001288225466851,0.0292303431779146,0.0004463043296709
2026-07-20,0.0001590801548445,0.02955405972898,0.00030724235936451677
2026-07-21,0.0001105854898924,0.0318387066945433,0.00016818038905813345
2026-07-22,9.146276715910062e-05,0.0341233536601066,2.911841875175014e-05
2026-07-23,0.0001403764472343,0.0412086322903633,0.0001777040451997
2026-07-24,8.746961975703016e-05,0.0290937609970569,0.0005256566801108
2026-07-25,6.635562021983787e-05,0.0269742645323276,0.0002826738618750614
2026-07-26,5.192907701712102e-05,0.0384287983179092,3.969104363932274e-05
2026-07-27,6.477467589623605e-05,0.0351719018071889,0.00010124602995345818
2026-07-28,7.762027477535108e-05,0.0319150052964687,0.00016280101626759362
2026-07-29,9.046587365446612e-05,0.0341415554285049,0.00022435600258172907
2026-07-30,8.465554128633812e-05,0.0352706275880336,0.0002859109888958645
2026-07-31,8.284109208034351e-05,0.0385898947715759,0.00034746597521
2026-08-01,5.07964905409608e-05,0.0304802078753709,0.0006805089069529999
2026-08-02,1.8751889001578093e-05,0.030729703605175,0.001013551838696
2026-08-03,5.668483208864927e-05,0.0260363314300775,9.109475649893284e-05
2026-08-04,5.682307164533995e-05,0.0309126060456037,0.0001689201890258
2026-08-05,0.0001008583640214,0.0293556582182645,7.924015517346561e-05
2026-08-06,2.635152304719668e-05,0.0296505838632583,0.0002110897621605
2026-08-07,5.327168400981464e-05,0.0299455095082521,0.0003603111836127
2026-08-08,3.735706559382379e-05,0.0274830823764204,0.000163025339134
2026-08-09,5.038301242166199e-05,0.0250206552445888,8.465432620141655e-05
2026-08-10,7.6892063589181e-05,0.0422155112028121,0.0003051863241125583
2026-08-11,0.0001034011147567,0.0271737873554229,0.0005257183220237
2026-08-12,0.0001265076716663,0.0266498327255249,0.0005689545068889501
2026-08-13,0.0001088447024812,0.0297557264566421,0.0006121906917542
